Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
Company1,Success,,,-1,Video distribution,entertainment,operation,KPCB_Holdings Draper_Fisher_Jurvetson_(DFJ) Kleiner_Perkins_Caufield_&_Byers AT&T Blueprint_Ventures Cisco Zone_Ventures,3,0,No,,5/26/2013,450000,United States,North America,2,0,1,2,2,15,Yes,4,Nothing,No,Small,No,No,No,No,Service,No,Private,No,Both,Yes,Platform,Global,Linear,Yes,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,High,High,Yes,Low,Masters,21,business,Yes,Yes,Tier_1,500,Medium,0,0,0,None,0,None,0,Low,Low,Yes,No,High,,No,No,Yes,No,No,No,,9626884,No,Yes,No,2,Low,0,1.5,0.45,,,11.56,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Company2,Success,2011,3,125,,Market_Research Marketing Crowdfunding,"Marketing, sales",,,,No,,,5000000,United States,North America,5,0,2,0,4,20,No,0,medium,Yes,Large,Yes,Yes,No,No,Product,No,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Online,B2C,Low,High,Yes,High,Masters,21, Supply Chain Management & Entrepreneurship,Yes,Yes,Tier_1,500,High,0,0,0,Medium,13,None,34,High,Medium,Yes,No,Low,,No,Yes,Yes,No,No,Yes,Medium,1067034,Yes,Yes,No,3,Medium,0,6.666666667,5,Not Applicable,10,9,Trough,2 to 5,15.88235294,11.76470588,15,12.94117647,0,8.823529412,21.76470588,10.88235294,2.941176471,0,0,0,0,0,8
Company3,Success,2011,3,455,Event Data Analytics API,Analytics Cloud_Computing Software_Development,operations,TechStars Streamlined_Ventures Amplify_Partners Rincon_Venture_Partners Pelion_Venture_Partners 500_Startups Loren_Siebert Jason_Seats XG_Ventures George_Karidis Sam_Choi Morris_Wheeler Data_Collective Pejman_Nozad Ullas_Naik Dirk_Elmendorf Galvanize Pat_Matthews Paul_Kedrosky Matt_Ocko Cloud_Power_Capital Jared_Kopf Anne_Johnson Issac_Roth George_Karutz Jim_Deters Zachary_Aarons Zack_Bogue,14,0,No,12/1/2011,10/23/2013,2350000,United States,North America,15,0,3,0,7,10,No,0,low,Yes,Medium,No,No,No,No,Both,Yes,Private,Yes,Both,Yes,cloud,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,18,General,Yes,Yes,Tier_2,500,High,0,0,1,Medium,18,None,36,High,Medium,Yes,No,Low,,Yes,Yes,Yes,No,No,No,Low,71391,Yes,Yes,Yes,3,Medium,0,3.333333333,2.35,Not Applicable,2,7.344444444,Trough,2 to 5,9.401709402,0,57.47863248,0,0,3.846153846,17.09401709,9.401709402,0,2.777777778,0,0,0,0,9
Company4,Success,2009,5,-99,The most advanced analytics for mobile,Mobile Analytics,Marketing & Sales,Michael_Birch Max_Levchin Sequoia_Capital Keith_Rabois Andreessen_Horowitz Marc_Benioff David_Sacks Y_Combinator Voyager_Capital,45,10,No,6/20/2009,5/10/2012,10250000,United States,North America,6,0,2,0,4,50,Yes,0,low,No,Large,Yes,Yes,No,No,Product,Yes,Public,Yes,Structured,Yes,Platform,Local,Non-Linear,No,Few,Yes,No,No,No,No,No,No,No,No,No,Online,B2C,Medium,Medium,Yes,Low,Bachelors,18,Computer Systems Engineering,Yes,Yes,Tier_2,,Low,0,0,0,Medium,2,None,15.5,Medium,Medium,Yes,No,Low,Good,No,Yes,Yes,No,No,No,Low,11847,No,Yes,Yes,4,Medium,2,10,10.25,Not Applicable,1,8.7,Trough,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Company5,Success,2010,4,496,The Location-Based Marketing Platform,Analytics Marketing Enterprise_Software,Marketing & Sales,DFJ_Frontier Draper_Nexus_Ventures Gil_Elbaz Auren_Hoffman Walter_Kortschak MI_Ventures Brand_Ventures Daher_Capital Double_M_Partners Gold_Hill_Capital Clark_Landry Draper_Associates MI_Ventures_LLC Signia_Venture_Partners,39,3,No,4/1/2010,12/11/2013,5500000,United States,North America,7,0,1,1,8,40,No,0,high,No,Small,No,No,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18, Industrial Engineering and Computer Science,Yes,Yes,None,500,High,0,0,0,Low,5,Few,23,Medium,Medium,Yes,No,Low,Bad,Yes,Yes,Yes,No,No,No,Low,201814,Yes,Yes,No,3,Medium,0,10,5.5,Not Applicable,13,9.822222222,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Company6,Success,2010,4,106,big data for foodservice,Food_&_Beverages Hospitality,analytics,Pritzker_Group_Venture_Capital Excelerate_Labs Hyde_Park_Venture_Partners Chicago_Ventures Amicus_Capital IDEO Olive_Ventures KD_Capital_L.L.C,14,8,No,5/1/2010,9/17/2013,1000000,United States,North America,2,0,4,0,4,14,No,2,medium,No,Medium,No,No,No,No,Service,No,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Low,High,Yes,Medium,Masters,21,Political Science,No,No,None,500,Low,0,0,0,Low,5,None,25,Medium,Medium,Yes,No,Low,Good,No,Yes,No,Yes,No,No,High,591816,Yes,Yes,Yes,4,High,0,3.5,1,Not Applicable,12,9.322222222,Trigger,2 to 5,6.25,0,3.125,15.625,9.375,3.125,6.25,3.125,3.125,0,0,0,0,0,6
Company7,Success,2011,3,39,,Analytics,Research,Plug_&_Play_Ventures Correlation_Ventures Crosslink_Capital Roham_Gharegozlou Start_Capital Naguib_Sawiris Pejman_Nozad Streamlined_Ventures,7,0,No,1/1/2011,9/3/2013,2000000,United States,North America,7,0,2,9,2,15,No,4,medium,No,Small,Yes,Yes,No,No,Both,Yes,Public,Yes,Unstructured,Yes,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,PhD,25,Electrical Eng,Yes,Yes,None,,Low,0,0,0,Low,1,None,21,Medium,Medium,Yes,No,Medium,,No,No,Yes,No,No,Yes,Low,2345574,Yes,Yes,No,3,Medium,0,5,2,Not Applicable,11,7.311111111,Trigger,2 to 5,0,0,66.66666667,5.555555556,0,22.22222222,0,0,0,5.555555556,0,0,0,0,0
Company8,Success,2010,4,139,,Cloud_Computing Network_Hosting_Infrastructure,Computing,Norwest_Venture_Partners Bessemer_Venture_Partners Atlas_Venture,29,-12,No,1/1/2010,11/8/2012,6700000,United States,North America,0,0,3,4,4,40,No,0,medium,No,Large,Yes,Yes,No,No,Both,Yes,Private,No,Both,No,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21,Business management,Yes,Yes,Tier_1,500,Medium,0,0,0,High,5,Few,4.5,Medium,Medium,Yes,No,Low,Bad,No,No,Yes,No,No,No,Low,1015027,Yes,Yes,No,3,Medium,0,10,6.7,Not Applicable,20,6.4,Slope,2 to 5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2
Company9,Success,2011,3,306,Engagement Engine,Analytics Mobile Marketing,Marketing,Promus_Ventures SoftTech_VC Costanoa_Venture_Capital Lee_Linden Chamath_Palihapitiya Raj_De_Datta Tim_Kendall Omar_Siddiqui David_Vivero Sequoia_Capital,16,45,No,1/1/2011,2/26/2014,11000000,United States,North America,13,0,2,0,2,50,No,0,medium,Yes,Medium,Yes,Yes,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,Yes,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Medium,High,Yes,High,Masters,21,Business management,Yes,Yes,Tier_1,500,High,0,0,0,Medium,13,None,48,Low,Medium,No,No,Low,,No,Yes,No,No,No,No,Low,256921,Yes,Yes,No,3,Medium,0,16.66666667,11,Not Applicable,18,12,Trough,2 to 5,8.333333333,0,46.73202614,5.718954248,8.333333333,0,19.77124183,2.777777778,2.777777778,0,0,0,0,5.555555556,5
Company10,Success,2013,1,53,Big data for clinical insight,Healthcare Pharmaceuticals Analytics,Research,Khosla_Ventures,3,,No,5/16/2013,10/24/2013,3000000,United States,North America,0,0,3,4,3,3,No,0,Nothing,Yes,Medium,Yes,Yes,No,No,Product,No,Public,Yes,Structured,No,Platform,Global,Non-Linear,No,None,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,PhD,25,Biomedical Informatics ,Yes,Yes,Tier_1,500,High,0,0,0,Medium,1,None,25.5,Medium,High,Yes,No,Medium,,Yes,No,Yes,No,No,Yes,Low,3639779,No,Yes,No,1,Low,0,3,3,Not Applicable,5,5,Peak,5 to 10,8.333333333,0,27.08333333,19.79166667,0,23.95833333,0,0,0,20.83333333,0,0,0,0,4
