"","X","Company_Name","Dependent.Company.Status","Age.of.company.in.years","Internet.Activity.Score","Has.the.team.size.grown","Number.of.Investors.in.Seed","Number.of.Investors.in.Angel.and.or.VC","Number.of.Co.founders","Number.of.of.advisors","Team.size.Senior.leadership","Team.size.all.employees","Number.of.of.repeat.investors","Number.of..Sales.Support.material","Worked.in.top.companies","Average.size.of.companies.worked.for.in.the.past","Have.been.part.of.startups.in.the.past.","Have.been.part.of.successful.startups.in.the.past.","Was.he.or.she.partner.in.Big.5.consulting.","Consulting.experience.","Product.or.service.company.","Catering.to.product.service.across.verticals","Focus.on.private.or.public.data.","Focus.on.consumer.data.","Focus.on.structured.or.unstructured.data","Subscription.based.business","Cloud.or.platform.based.serive.product.","Local.or.global.player","Linear.or.Non.linear.business.model","Capital.intensive.business.e.g..e.commerce..Engineering.products.and.operations.can.also.cause.a.business.to.be.capital.intensive","Crowdsourcing.based.business","Crowdfunding.based.business","Machine.Learning.based.business","Predictive.Analytics.business","Speech.analytics.business","Prescriptive.analytics.business","Big.Data.Business","Cross.Channel.Analytics..marketing.channels","Owns.data.or.not...monetization.of.data..e.g..Factual","Is.the.company.an.aggregator.market.place..e.g..Bluekai","Online.or.offline.venture...physical.location.based.business.or.online.venture.","B2C.or.B2B.venture.","Barriers.of.entry.for.the.competitors","Percent_skill_Entrepreneurship","Percent_skill_Operations","Percent_skill_Engineering","Percent_skill_Marketing","Percent_skill_Leadership","Percent_skill_Data.Science","Percent_skill_Business.Strategy","Percent_skill_Product.Management","Percent_skill_Sales","Percent_skill_Domain","Percent_skill_Law","Percent_skill_Consulting","Percent_skill_Finance","Percent_skill_Investment","Renown.score","Is_marketing","Is_analytics","Is_e_commerce","Is_telco","Is_software","Is_advertising","Is_entertainment","Is_retail","Is_energy","Is_healthcare","Is_education","Is_HR","Is_finance","Is_transport","Is_real_estate","important_investors"
"1",1,"company1","success",4,-1,"no",2,0,1,2,2,15,4,"nothing","no","small","no","no","no","no","service","no","private","no","both","yes","platform","global","linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2",2,"company2","success",3,125,"no",5,0,2,0,4,20,0,"medium","yes","large","yes","yes","no","no","product","no","public","yes","both","no","platform","local","non-linear","no","yes","no","yes","yes","no","no","yes","yes","yes","no","online","b2c","yes",15.88235294,11.76470588,15,12.94117647,0,8.823529412,21.76470588,10.88235294,2.941176471,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"4",4,"company4","success",5,-99,"no",6,0,2,0,4,50,0,"low","no","large","yes","yes","no","no","product","yes","public","yes","structured","yes","platform","local","non-linear","no","yes","no","no","no","no","no","no","no","no","no","online","b2c","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"7",7,"company7","success",3,39,"no",7,0,2,9,2,15,4,"medium","no","small","yes","yes","no","no","both","yes","public","yes","unstructured","yes","platform","local","non-linear","no","no","no","no","yes","no","no","yes","no","no","no","online","b2b","yes",0,0,66.66666667,5.555555556,0,22.22222222,0,0,0,5.555555556,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,"company9","success",3,306,"no",13,0,2,0,2,50,0,"medium","yes","medium","yes","yes","no","no","product","yes","public","yes","both","no","platform","local","non-linear","no","yes","no","no","no","no","no","yes","no","yes","no","online","b2b","no",8.333333333,0,46.73202614,5.718954248,8.333333333,0,19.77124183,2.777777778,2.777777778,0,0,0,0,5.555555556,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"11",11,"company11","success",3,762,"no",0,0,2,1,8,50,0,"medium","no","small","yes","yes","no","no","both","no","public","yes","both","no","platform","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",3.846153846,0,26.92307692,0,3.846153846,3.846153846,7.692307692,0,3.846153846,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"13",13,"company13","success",4,115,"no",0,0,0,1,8,50,1,"high","no","medium","yes","yes","no","yes","product","yes","private","yes","structured","no","cloud","local","non-linear","yes","no","no","no","no","no","no","no","yes","no","no","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"14",14,"company14","success",6,277,"no",0,0,3,0,6,22,0,"low","no","large","yes","no","yes","yes","product","no","public","yes","both","yes","cloud","global","non-linear","no","no","no","no","no","no","no","yes","no","yes","no","online","b2b","yes",8.333333333,0,50,16.66666667,0,12.5,4.166666667,4.166666667,4.166666667,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"15",15,"company15","success",4,242,"no",0,2,2,0,5,50,0,"high","no","medium","no","no","no","no","product","yes","public","yes","both","no","platform","local","non-linear","no","no","no","yes","yes","no","no","yes","yes","yes","no","online","b2b","yes",13.33333333,0,6.666666667,60,0,13.33333333,6.666666667,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"16",16,"company16","success",6,533,"yes",0,0,2,0,8,200,0,"high","no","small","no","no","no","no","both","no","public","yes","both","no","platform","global","non-linear","yes","no","no","no","yes","no","no","no","no","no","no","online","b2b","yes",11.11111111,5.555555556,5.555555556,0,11.11111111,11.11111111,27.77777778,0,11.11111111,5.555555556,0,0,5.555555556,5.555555556,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17",17,"company17","success",4,-81,"no",0,3,1,0,7,50,2,"high","no","small","no","no","no","no","product","yes","public","yes","both","no","platform","local","non-linear","yes","no","no","no","yes","no","no","yes","no","no","no","online","b2b","yes",8.333333333,0,58.33333333,0,0,0,25,0,0,8.333333333,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",18,"company18","success",5,471,"no",0,0,3,0,8,50,2,"low","no","small","no","no","no","no","both","yes","both","yes","both","no","platform","global","non-linear","no","no","no","yes","yes","no","yes","yes","yes","no","no","online","b2b","yes",20,0,20,0,40,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",21,"company21","success",4,70,"yes",0,1,2,0,5,26,0,"medium","yes","medium","yes","no","no","no","both","yes","private","yes","structured","no","cloud","global","non-linear","no","no","no","yes","yes","no","no","yes","no","no","yes","offline","b2b","no",5.555555556,0,27.77777778,11.11111111,0,16.66666667,27.77777778,5.555555556,0,5.555555556,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",27,"company27","success",5,155,"yes",0,0,3,0,3,6,0,"low","no","medium","no","no","yes","no","service","yes","private","no","unstructured","no","platform","global","non-linear","no","no","no","no","no","no","no","no","no","yes","yes","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"29",29,"company29","success",7,11,"yes",0,0,2,8,10,110,2,"high","no","medium","no","no","no","no","service","no","private","no","structured","no","platform","local","linear","yes","no","no","yes","yes","no","yes","yes","yes","no","no","online","b2b","yes",5.555555556,5.555555556,16.66666667,5.555555556,5.555555556,5.555555556,22.22222222,5.555555556,22.22222222,5.555555556,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",30,"company30","success",2,281,"no",3,0,2,0,2,3,0,"medium","no","small","no","no","no","no","service","no","private","no","both","no","platform","global","non-linear","no","yes","no","no","no","no","no","no","no","yes","no","online","b2c","no",0,0,80.20833333,4.166666667,0,4.166666667,11.45833333,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"31",31,"company31","success",2,421,"no",2,0,4,0,4,50,0,"medium","no","small","no","no","no","no","service","yes","private","no","both","yes","platform","global","linear","yes","no","no","no","no","no","no","yes","no","no","no","online","b2b","no",0,0,50,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"33",33,"company33","success",4,983,"yes",2,3,3,2,5,132,3,"high","no","small","no","no","no","no","product","yes","both","no","both","yes","platform","global","non-linear","no","no","no","no","yes","no","yes","yes","no","no","no","online","b2b","no",12.5,0,6.25,50,0,18.75,6.25,0,6.25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",34,"company34","success",3,68,"yes",1,0,3,0,4,8,0,"nothing","no","medium","yes","no","no","no","service","yes","both","no","both","yes","platform","global","non-linear","no","no","no","yes","yes","no","yes","yes","yes","yes","no","online","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"37",37,"company37","success",2,140,"yes",0,0,4,4,4,30,2,"high","no","medium","no","no","no","no","service","yes","private","yes","structured","no","platform","global","linear","yes","no","no","no","no","no","no","yes","no","no","no","offline","b2b","yes",11.11111111,11.11111111,30.55555556,0,8.333333333,2.777777778,11.11111111,8.333333333,11.11111111,2.777777778,0,0,0,2.777777778,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"41",41,"company41","success",2,89,"no",2,1,2,1,2,7,0,"medium","no","small","yes","no","no","no","service","yes","private","no","unstructured","yes","platform","local","non-linear","yes","no","no","yes","yes","no","yes","yes","yes","no","yes","online","b2c","no",8.333333333,0,8.333333333,61.11111111,0,0,11.11111111,2.777777778,0,8.333333333,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"42",42,"company42","success",5,69,"no",2,0,2,9,3,13,0,"medium","no","small","yes","yes","no","yes","product","yes","private","yes","unstructured","yes","cloud","local","linear","no","no","no","yes","yes","no","yes","yes","no","no","no","online","b2b","no",5.882352941,0,17.64705882,5.882352941,0,5.882352941,2.941176471,8.823529412,0,2.941176471,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"43",43,"company43","success",3,374,"yes",1,0,0,8,3,57,0,"medium","no","medium","no","no","no","no","service","yes","public","no","unstructured","no","platform","global","linear","no","no","no","yes","no","no","yes","no","no","no","no","online","b2c","no",16.66666667,0,0,5.555555556,16.66666667,5.555555556,38.88888889,0,0,16.66666667,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"44",44,"company44","success",6,40,"yes",0,0,3,0,6,50,1,"low","no","small","no","no","no","yes","product","yes","private","yes","structured","yes","cloud","global","non-linear","no","no","no","no","yes","no","no","no","no","no","no","online","b2b","no",6.25,0,0,6.25,6.25,0,18.75,6.25,0,0,0,0,0,6.25,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",45,"company45","success",2,115,"yes",5,0,2,3,4,200,3,"low","no","large","yes","yes","no","yes","product","no","public","no","both","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","yes","yes","both","b2b","yes",10.55555556,18.88888889,13.33333333,10,20.55555556,5.555555556,8.333333333,0,2.777777778,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
